"type","value","source"
"domain","ggl.whoscaller.net","Mandiant"
"hash_md5","ee6e0fc26e94e5b2e52d57ac035b36ff","Mandiant"
"domain","cgf.goldplusapp.net","Mandiant"
"domain","adoptewer.com","Mandiant"
"hash_md5","46923e10db90bde295960851245f199a","Mandiant"
"domain","wyo.titeperformance.com","Mandiant"
"domain","www.weetogether.top","Mandiant"
"domain","www.onlinewxapp.net","Mandiant"
"domain","www.onlineweixin.net","Mandiant"
"domain","www.online-wechat.com","Mandiant"
"domain","www.lodepot.com","Mandiant"
"domain","widelygram.org","Mandiant"
"domain","who.goldplusapp.net","Mandiant"
"domain","vpf.titeperformance.com","Mandiant"
"domain","tryhrwserf.com","Mandiant"
"domain","thetubeplus.com","Mandiant"
"domain","telegramtor.com","Mandiant"
"domain","system.onlinegamersgroup.com","Mandiant"
"domain","pmumail.com","Mandiant"
"domain","oha.alpinemap.net","Mandiant"
"domain","ntc-ftth.net","Mandiant"
"domain","mail.pmumail.com","Mandiant"
"domain","m.leak-news.com","Mandiant"
"domain","jkiohreh.com","Mandiant"
"domain","img.rewrwer.com","Mandiant"
"domain","idc-ctbto.org","Mandiant"
"url","https://www.youtube.com/@josephjoey3499","Mandiant"
"url","https://www.youtube.com/@bradshannon334","Mandiant"
"domain","groupgram.org","Mandiant"
"domain","fvbyavgyea.com","Mandiant"
"domain","fgt.lookincategory.com","Mandiant"
"domain","edr.lookincategory.com","Mandiant"
"domain","dvr.collinformations.com","Mandiant"
"domain","download.apkbazar.biz","Mandiant"
"domain","doa.rondwsign.com","Mandiant"
"domain","djibdiplomatie.com","Mandiant"
"domain","cde.mpoxcases.com","Mandiant"
"domain","big.collinformations.com","Mandiant"
"domain","bae.cisconline.net","Mandiant"
"domain","axisupdate.com","Mandiant"
"domain","aua.rondwsign.com","Mandiant"
"domain","aru.alpinemap.net","Mandiant"
"domain","apps.androidupdated.net","Mandiant"
"domain","ansec.com","Mandiant"
"domain","aar.tokenmajorp.com","Mandiant"
"domain","aar.alpinemap.net","Mandiant"
"domain","uyapkfinder.com","Mandiant"
"domain","microtik.net","Mandiant"
"domain","fre.lookincategory.com","Mandiant"
"domain","cdn.horse-shadow-key.vip","Mandiant"
"domain","www.quickbooks.intuit.com.global.allow-protect.top","Mandiant"
"url","https://www.quickbooks.intuit.com.global.allow-protect.top/quickbooks-online-advanced/index.php","Mandiant"
"domain","greywolf.ae","Mandiant"
"domain","captcha-cdn.com","Mandiant"
"domain","run.fox-chair-dust.xyz","Mandiant"
"domain","rose-pole-chip.pages.dev","Mandiant"
"domain","orand.allow-protect.top","Mandiant"
"domain","nopaste.net","Mandiant"
"url","https://rose-pole-chip.pages.dev/win","Mandiant"
"url","https://rose-pole-chip.pages.dev/mac","Mandiant"
"url","https://orand.allow-protect.top/qui.php","Mandiant"
"url","https://nopaste.net/fjlsjiaubyvcrs.ps1","Mandiant"
"url","https://greywolf.ae/sale/invoice_406801881603200_03262025.zip","Mandiant"
"url","https://cf.jolttapestry.fun/7456f63a46cc318334a70159aa3c4291","Mandiant"
"domain","buymetals.com","Mandiant"
"url","https://cdn.horse-shadow-key.vip/uunn52c294.bin","Mandiant"
"url","https://captcha-cdn.com/verify.sh","Mandiant"
"url","https://captcha-cdn.com/update","Mandiant"
"url","https://buymetals.com/qkc/?","Mandiant"
"url","http://run.fox-chair-dust.xyz/","Mandiant"
"hash_md5","d021b6e3a0adb7510ed6fbbe9faec1ac","Mandiant"
"hash_md5","2085e96c775b705bdda54f817057a102","Mandiant"
"domain","cf.jolttapestry.fun","Mandiant"
"hash_md5","253ebb4428d8be433c6e339ecfd7cbdd","Mandiant"
"hash_md5","872285bf2c782c878f18f9abedf800a9","Mandiant"
"hash_md5","5698875deca6020fe3fa520eaab05865","Mandiant"
"hash_md5","302b94f6f12924c80c448626f98e578b","Mandiant"
"hash_md5","3eeec5dbd4e8b164d80f1ec1183fb762","Mandiant"
"domain","plant-pipes.gl.at.ply.gg","Mandiant"
