"type","value","source","articlename"
"domain","app.symphoniabags.com","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","arch.vip873k2.cfd","Mandiant","Actor of Unknown Motivation Leverages Fake ?Savedrop? File Transfer Websites to Deliver LUMMAC.V2.csv"
"domain","assets.studermfg.com","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","ckonti.com","Mandiant","Actor of Unknown Motivation Leverages Fake ?Savedrop? File Transfer Websites to Deliver LUMMAC.V2.csv"
"domain","cpanel.help4dad.org","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","cpanel.imirp.co.uk","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","cpanel.productdevelopmentplan.com","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","cpanel.quantumconcretecoatings.com","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","cpanel.realizr.today","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","cpanel.thekooljack.com","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","dev.couplesparks.com","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","files.myamericanmadestory.com","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","funcallback.com","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","groundrats.org","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","lancefighsg.run","Mandiant","Actor of Unknown Motivation Leverages Fake ?Savedrop? File Transfer Websites to Deliver LUMMAC.V2.csv"
"domain","larenrafes.blogspot.com","Mandiant","Actor of Unknown Motivation Leverages Fake ?Savedrop? File Transfer Websites to Deliver LUMMAC.V2.csv"
"domain","m.cpa2go.com","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","media.cl874g.my","Mandiant","Actor of Unknown Motivation Leverages Fake ?Savedrop? File Transfer Websites to Deliver LUMMAC.V2.csv"
"domain","media.cloud839v1.cyou","Mandiant","Actor of Unknown Motivation Leverages Fake ?Savedrop? File Transfer Websites to Deliver LUMMAC.V2.csv"
