type,value,source,articlename
domain,aplicativo-br.com,Google TI,PixRevolution Android Trojan Hijacks Brazilian PIX Payments.csv
domain,cloudfront-021.s3.us-west-2.amazonaws.com,Google TI,Campaign 26.013 Suspected Financially Motivated Threat Group Leverages Browser-Based Access and Multistaged Malware Pipeline for LimeWire API Exfiltration.csv
domain,correios.aplicativo-br.com,Google TI,PixRevolution Android Trojan Hijacks Brazilian PIX Payments.csv
domain,delightful-river-09976af00.3.azurestaticapps.net,Google TI,Campaign 26.019 Actor of Unknown Motivations Deploys Malware via Fake Installers.csv
domain,expedia.aplicativo-br.com,Google TI,PixRevolution Android Trojan Hijacks Brazilian PIX Payments.csv
domain,herokuapp.com,Google TI,Campaign 26.013 Suspected Financially Motivated Threat Group Leverages Browser-Based Access and Multistaged Malware Pipeline for LimeWire API Exfiltration.csv
domain,jzvbmjmsgqnr.zhivachkapro.com,Google TI,Campaign 26.023 Threat Actor Deploys DINODANCE Malware via Trojanized Installer and Abuses Deno Runtime for In-Memory Execution.csv
domain,kozow.com,Google TI,Campaign 26.021 Iranian Espionage Group Conducts Data Mining and Operational Interference Against Suspected Israeli Targets.csv
domain,m-2.jplong.org,Google TI,Campaign 26.019 Actor of Unknown Motivations Deploys Malware via Fake Installers.csv
domain,octopus-clouds.com,Google TI,Campaign 26.021 Iranian Espionage Group Conducts Data Mining and Operational Interference Against Suspected Israeli Targets.csv
domain,plurfestivalgalaxy.com,Google TI,Hive0163 Deploys AI-Generated Slopoly Malware in Extortion Operations.csv
domain,sad4w7h913-b4a57f9c36eb.herokuapp.com,Google TI,Campaign 26.013 Suspected Financially Motivated Threat Group Leverages Browser-Based Access and Multistaged Malware Pipeline for LimeWire API Exfiltration.csv
domain,serialmenot.com,Google TI,Campaign 26.023 Threat Actor Deploys DINODANCE Malware via Trojanized Installer and Abuses Deno Runtime for In-Memory Execution.csv
domain,service-page-11369-28315-outlook.s3.us-west-2.amazonaws.com,Google TI,Campaign 26.013 Suspected Financially Motivated Threat Group Leverages Browser-Based Access and Multistaged Malware Pipeline for LimeWire API Exfiltration.csv
